Term,Flight No,Operator,From,Airport name,Scheduled,Estimated,Touchdown,Est Chocks,Act Chocks,Stand,Max pax,Act Pax,Conn pax
3,BA701,British Airways,VIE,Vienna,14:45 22/10/2016,14:45 22/10/2016,,,,,168,,
5,IB3604,Iberia,LPA,Gran Canaria,14:45 22/10/2016,14:45 22/10/2016,,,,,177,,
2,LH2476,Lufthansa,MUC,Munich,14:45 22/10/2016,14:45 22/10/2016,,,,,,,
3,PK757,Pakistan International Airline,LHE,Lahore,14:55 22/10/2016,14:45 22/10/2016,,,,,297,0,3
2,SQ308,Singapore Airlines,SIN,Singapore,14:40 22/10/2016,14:46 22/10/2016,,,,,379,272,13
3,JL043,Japan Airlines,HND,Tokyo (Haneda),14:50 22/10/2016,14:50 22/10/2016,,,,,,,82
2,NH211,ANA All Nippon Airways,HND,Tokyo (Haneda),15:20 22/10/2016,14:50 22/10/2016,,,,,212,,7
2,OU492,Croatia Airlines,SPU,Split,14:50 22/10/2016,14:50 22/10/2016,,,,,,,
5,BA731,British Airways,GVA,Geneva,14:55 22/10/2016,14:55 22/10/2016,,,,,143,,
5,BA891,British Airways,SOF,Sofia,14:55 22/10/2016,14:55 22/10/2016,,,,,205,,
4,BG017,Biman Bangladesh Airlines,DAC,Dhaka,14:45 22/10/2016,14:55 22/10/2016,,,,,419,131,2
2,EI168,Aer Lingus,DUB,Dublin,14:55 22/10/2016,14:55 22/10/2016,,,,,,,
3,VS401,Virgin Atlantic Airways,DXB,Dubai,14:55 22/10/2016,14:55 22/10/2016,,,,,266,,
2,SK505,SAS,CPH,Copenhagen,15:00 22/10/2016,15:00 22/10/2016,,,,,,,
4,AZ204,Alitalia,FCO,Rome,15:05 22/10/2016,15:05 22/10/2016,,,,,,,
5,BA9133C,British Airways,FCO,Rome,15:05 22/10/2016,15:05 22/10/2016,,,,,259,,
3,EK031,Emirates Airline,DXB,Dubai,15:10 22/10/2016,15:10 22/10/2016,,,,,,,
4,KQ100,Kenya Airways,NBO,Nairobi,15:10 22/10/2016,15:10 22/10/2016,,,,,,,
5,BA679,British Airways,IST,Istanbul,15:15 22/10/2016,15:15 22/10/2016,,,,,168,,
5,BA883,British Airways,KBP,Kiev,15:15 22/10/2016,15:15 22/10/2016,,,,,168,,
4,KL1021,KLM Royal Dutch Airlines,AMS,Amsterdam,15:15 22/10/2016,15:15 22/10/2016,,,,,,,
3,BA475,British Airways,BCN,Barcelona,15:20 22/10/2016,15:20 22/10/2016,,,,,168,,
2,LX324,Swiss,ZRH,Zurich,15:20 22/10/2016,15:20 22/10/2016,,,,,,,
3,VY7100,Vueling Airlines,LCG,A Coruna,15:20 22/10/2016,15:20 22/10/2016,,,,,,,
5,BA335,British Airways,ORY,Paris (Orly),15:25 22/10/2016,15:25 22/10/2016,,,,,143,,
2,EW1466,Eurowings,DUS,Dusseldorf,15:25 22/10/2016,15:25 22/10/2016,,,,,,,
5,IB3172,Iberia,MAD,Madrid,15:25 22/10/2016,15:25 22/10/2016,,,,,200,,
2,SK809,SAS,OSL,Oslo,15:25 22/10/2016,15:25 22/10/2016,,,,,,,
3,VS251,Virgin Atlantic Airways,PVG,Shanghai,16:10 22/10/2016,15:25 22/10/2016,,,,,264,241,1
4,AF1280,Air France,CDG,Paris (CdG),15:30 22/10/2016,15:30 22/10/2016,,,,,,,
2,TK1971,Turkish Airlines THY,IST,Istanbul,15:30 22/10/2016,15:30 22/10/2016,,,,,,,
5,BA168,British Airways,PVG,Shanghai,15:30 22/10/2016,15:33 22/10/2016,,,,,216,213,57
5,BA345,British Airways,NCE,Nice,15:35 22/10/2016,15:35 22/10/2016,,,,,143,,
3,BA359,British Airways,LYS,Lyon,15:40 22/10/2016,15:40 22/10/2016,,,,,168,,
5,BA439,British Airways,AMS,Amsterdam,15:40 22/10/2016,15:40 22/10/2016,,,,,143,,
5,BA715,British Airways,ZRH,Zurich,15:40 22/10/2016,15:40 22/10/2016,,,,,143,,
2,LH914,Lufthansa,FRA,Frankfurt,15:40 22/10/2016,15:40 22/10/2016,,,,,,,
5,BA837,British Airways,DUB,Dublin,15:45 22/10/2016,15:45 22/10/2016,,,,,143,,
5,BA9137C,British Airways,ADB,Izmir,15:45 22/10/2016,15:45 22/10/2016,,,,,168,,
2,LX348,Swiss,GVA,Geneva,15:45 22/10/2016,15:45 22/10/2016,,,,,,,
