work,mindesks,maxdesks
7.42574257425743,0,5
9.488900468994276,0,5
9.488900468994276,0,5
9.488900468994276,0,5
8.003751954142789,0,5
2.0631578947368463,0,5
2.0631578947368463,0,5
2.0631578947368463,0,5
2.0631578947368463,0,5
2.0631578947368463,0,6
2.0631578947368463,0,6
2.0631578947368463,0,6
2.0631578947368463,0,6
2.0631578947368463,0,6
1.9600000000000037,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
8.333333333333332,0,6
8.333333333333332,0,6
8.333333333333332,0,6
8.333333333333332,0,6
7.916666666666666,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
10.926829268292682,0,6
10.926829268292682,0,6
10.926829268292682,0,6
10.926829268292682,0,6
10.926829268292682,0,6
10.926829268292682,0,6
10.926829268292682,0,6
9.28780487804878,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.44102564102563935,0,6
0.44102564102563935,0,6
0.44102564102563935,0,6
0.44102564102563935,0,6
0.44102564102563935,0,6
0.44102564102563935,0,6
0.44102564102563935,0,6
0.44102564102563935,0,6
0.04410256410256393,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
3.419847328244276,0,6
3.419847328244276,0,6
3.419847328244276,0,6
3.419847328244276,0,6
2.5648854961832073,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
0.0,0,6
